source,retrieved_at,ranking_scope,ranking_year,ranking,name,university_code,university_slug,country,country_code,country_ranking,score,indicator_alumni,indicator_award,indicator_hici,indicator_n_s,indicator_pub,indicator_pcp,indicator_q1,indicator_cnci,indicator_ic,indicator_top
arwu,2026-07-19T13:17:27+00:00,overall,2023,49,University of Geneva,,university-of-geneva,Switzerland,CH,2,31.8,37.7,37.3,13.2,26.5,40.0,37.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,50,"University of Maryland, College Park",,university-of-maryland-college-park,United States,US,28,31.7,17.4,18.4,31.6,34.3,45.4,31.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,51,The University of Queensland,,the-university-of-queensland,Australia,AU,2,31.5,11.7,0.0,44.6,24.9,59.9,36.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,52,University of Illinois at Urbana-Champaign,,university-of-illinois-at-urbana-champaign,United States,US,29,31.4,25.6,33.0,17.4,29.6,47.2,25.2,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,52,Utrecht University,,utrecht-university,Netherlands,NL,1,31.4,20.9,17.2,34.8,22.6,53.7,27.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,54,Swiss Federal Institute of Technology Lausanne,,swiss-federal-institute-of-technology-lausanne,Switzerland,CH,3,31.3,0.0,29.1,25.5,36.4,36.2,49.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,55,Heidelberg University,,heidelberg-university,Germany,DE,1,31.2,18.1,21.1,24.6,33.2,49.0,29.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,56,Fudan University,,fudan-university,China,CN,5,31.1,0.0,0.0,34.2,31.0,73.1,26.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,57,University of Colorado at Boulder,,university-of-colorado-at-boulder,United States,US,30,31.0,11.7,31.4,24.6,32.1,40.9,31.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,58,University of Southern California,,university-of-southern-california,United States,US,31,30.8,0.0,29.1,32.9,25.3,50.0,25.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,59,King's College London,,kings-college-london,United Kingdom,GB,7,30.7,23.4,16.8,34.8,18.8,53.0,27.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,59,Technical University of Munich,,technical-university-of-munich,Germany,DE,2,30.7,34.3,17.2,21.8,27.9,50.2,29.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,59,University of Munich,,university-of-munich,Germany,DE,2,30.7,25.1,15.0,24.6,31.5,51.0,29.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,59,University of Zurich,,university-of-zurich,Switzerland,CH,4,30.7,0.0,20.6,26.3,32.9,51.1,36.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,63,"University of California, Santa Barbara",,university-of-california-santa-barbara,United States,US,32,30.2,13.8,36.0,20.8,34.4,30.9,35.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,64,University of Science and Technology of China,,university-of-science-and-technology-of-china,China,CN,6,30.1,0.0,0.0,33.5,32.1,66.2,29.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,65,"University of California, Irvine",,university-of-california-irvine,United States,US,33,29.8,14.8,26.9,28.7,25.9,43.1,25.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,66,Vanderbilt University,,vanderbilt-university,United States,US,34,29.4,13.8,26.1,27.9,18.6,46.8,33.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,67,University of Bonn,,university-of-bonn,Germany,DE,4,29.3,30.5,33.0,21.8,20.9,38.1,26.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,68,Weizmann Institute of Science,,weizmann-institute-of-science,Israel,IL,1,29.2,16.6,15.0,34.2,39.2,22.7,45.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,69,Université Paris Cité,,university-of-paris,France,FR,4,29.1,14.0,10.1,30.2,27.1,55.4,23.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,70,McGill University,,mcgill-university,Canada,CA,3,28.9,30.1,0.0,28.7,29.1,54.4,26.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,71,National University of Singapore,,national-university-of-singapore,Singapore,SG,1,28.8,0.0,0.0,39.5,23.4,60.8,32.8,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,72,The University of New South Wales,,the-university-of-new-south-wales,Australia,AU,3,28.6,0.0,0.0,37.8,24.7,60.6,32.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,73,Sun Yat-sen University,,sun-yat-sen-university,China,CN,7,28.3,0.0,0.0,29.4,17.6,78.3,24.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,73,University of Oslo,,university-of-oslo,Norway,NO,1,28.3,25.1,29.1,17.4,15.9,48.8,28.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,73,University of Sydney,,university-of-sydney,Australia,AU,4,28.3,12.8,0.0,32.9,19.1,64.1,29.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,76,University of Groningen,,university-of-groningen,Netherlands,NL,2,28.1,12.8,22.6,22.8,19.7,51.1,27.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,77,Monash University,,monash-university,Australia,AU,5,28.0,0.0,0.0,30.2,26.4,63.6,32.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,78,Aarhus University,,aarhus-university,Denmark,DK,2,27.6,10.5,20.3,22.8,22.1,50.3,27.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,79,Technion-Israel Institute of Technology,,technion-israel-institute-of-technology,Israel,IL,2,27.4,22.2,34.9,13.2,22.8,31.4,39.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,80,The University of Texas M. D. Anderson Cancer Center,,the-university-of-texas-m-d-anderson-cancer-center,United States,US,35,26.9,0.0,13.8,36.6,20.0,34.0,53.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,81,University of Basel,,university-of-basel,Switzerland,CH,5,26.8,21.6,14.1,17.4,31.1,37.1,39.2,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,82,Uppsala University,,uppsala-university,Sweden,SE,2,26.6,20.3,20.6,17.4,21.7,46.1,26.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,83,University of Pittsburgh,,university-of-pittsburgh,United States,US,36,26.5,16.6,0.0,32.2,25.0,53.9,18.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,84,Ghent University,,ghent-university,Belgium,BE,1,26.4,0.0,9.2,32.9,18.6,51.4,32.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,84,The Australian National University,,the-australian-national-university,Australia,AU,6,26.4,12.8,17.4,22.8,25.1,41.1,30.8,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,86,KU Leuven,,ku-leuven,Belgium,BE,2,26.2,0.0,0.0,30.2,26.6,55.1,31.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,86,The Hebrew University of Jerusalem,,the-hebrew-university-of-jerusalem,Israel,IL,3,26.2,30.1,26.1,11.4,20.7,39.6,29.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,88,Erasmus University Rotterdam,,erasmus-university-rotterdam,Netherlands,NL,3,26.1,13.8,13.0,27.9,14.9,48.0,32.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,88,The University of Hong Kong,,the-university-of-hong-kong,China-Hong Kong,HK,1,26.1,0.0,0.0,41.1,21.6,51.0,26.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,88,University of Bristol,,university-of-bristol,United Kingdom,GB,8,26.1,5.2,13.0,27.1,28.2,42.1,27.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,91,Huazhong University of Science and Technology,,huazhong-university-of-science-and-technology,China,CN,8,26.0,0.0,0.0,24.6,17.9,72.8,21.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,91,University of Alberta,,university-of-alberta,Canada,CA,4,26.0,10.5,16.0,23.7,16.3,52.0,26.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,93,Nanyang Technological University,,nanyang-technological-university,Singapore,SG,2,25.9,0.0,0.0,42.1,20.5,48.5,29.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,94,Seoul National University,,seoul-national-university,South Korea,KR,1,25.8,15.7,0.0,19.7,22.8,62.6,24.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,95,Central South University,,central-south-university,China,CN,9,25.3,0.0,0.0,27.1,10.1,74.1,23.0,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,96,Nanjing University,,nanjing-university,China,CN,10,25.2,0.0,0.0,25.5,24.3,60.5,24.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,96,Purdue University - West Lafayette,,purdue-university-west-lafayette,United States,US,37,25.2,11.7,20.9,17.4,21.7,45.5,22.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,98,Brown University,,brown-university,United States,US,38,25.1,24.0,18.2,13.2,20.9,41.2,33.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,98,McMaster University,,mcmaster-university,Canada,CA,5,25.1,18.1,17.2,27.1,11.3,41.9,30.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,98,Stockholm University,,stockholm-university,Sweden,SE,3,25.1,20.9,22.6,16.1,22.3,38.0,25.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Arizona State University,,arizona-state-university,United States,US,39-51,,0.0,18.4,20.8,16.9,39.4,17.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Beijing Institute of Technology,,beijing-institute-of-technology,China,CN,11-23,,0.0,0.0,34.2,12.0,53.3,21.2,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Boston University,,boston-university,United States,US,39-51,,10.5,10.6,21.8,20.3,46.9,21.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Carnegie Mellon University,,carnegie-mellon-university,United States,US,39-51,,29.1,27.6,11.4,20.4,29.0,27.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,City University of Hong Kong,,city-university-of-hong-kong,China-Hong Kong,HK,2-3,,0.0,0.0,35.4,16.7,45.4,29.2,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Emory University,,emory-university,United States,US,39-51,,0.0,0.0,26.3,22.5,48.9,28.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Harbin Institute of Technology,,harbin-institute-of-technology,China,CN,11-23,,0.0,0.0,27.1,12.8,65.8,22.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Jilin University,,jilin-university,China,CN,11-23,,0.0,0.0,22.8,13.5,60.5,15.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,King Saud University,,king-saud-university,Saudi Arabia,SA,1,,0.0,0.0,41.1,5.6,57.6,21.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Leiden University,,leiden-university,Netherlands,NL,4-6,,14.8,0.0,30.9,20.1,47.6,26.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Mayo Clinic College of Medicine and Science,,mayo-clinic-college-of-medicine-and-science,United States,US,39-51,,0.0,0.0,37.8,17.7,44.8,26.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Moscow State University,,moscow-state-university,Russia,RU,1,,38.1,29.1,0.0,11.9,46.0,26.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Icahn School of Medicine at Mount Sinai,,icahn-school-of-medicine-at-mount-sinai,United States,US,39-51,,0.0,0.0,36.6,27.3,39.0,17.8,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Nagoya University,,nagoya-university,Japan,JP,3,,27.2,23.5,6.6,20.2,39.7,18.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Norwegian University of Science and Technology - NTNU,,norwegian-university-of-science-and-technology-ntnu,Norway,NO,2,,11.7,19.5,14.7,15.5,42.1,19.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Radboud University Nijmegen,,radboud-university-nijmegen,Netherlands,NL,4-6,,15.7,0.0,24.6,19.6,45.7,28.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Rice University,,rice-university,United States,US,39-51,,14.8,19.9,22.8,23.4,26.8,34.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,"Rutgers, The State University of New Jersey - New Brunswick",,rutgers-the-state-university-of-new-jersey-new-brunswick,United States,US,39-51,,7.4,16.0,20.8,18.6,41.4,15.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Sapienza University of Rome,,sapienza-university-of-rome,Italy,IT,1,,14.8,22.6,6.6,14.5,48.4,19.8,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Shandong University,,shandong-university,China,CN,11-23,,0.0,0.0,20.8,12.5,67.2,17.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Sichuan University,,sichuan-university,China,CN,11-23,,0.0,0.0,23.7,11.2,73.0,20.8,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Soochow University,,soochow-university-china,China,CN,11-23,,0.0,0.0,34.2,9.0,53.5,18.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,South China University of Technology,,south-china-university-of-technology,China,CN,11-23,,0.0,0.0,28.7,9.8,56.1,20.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Southern University of Science and Technology,,southern-university-of-science-and-technology,China,CN,11-23,,0.0,0.0,24.6,18.8,44.2,36.0,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Southeast University,,southeast-university,China,CN,11-23,,0.0,0.0,25.5,9.3,63.1,20.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,The Chinese University of Hong Kong,,the-chinese-university-of-hong-kong,China-Hong Kong,HK,2-3,,0.0,13.0,18.6,11.8,51.1,23.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,The Ohio State University - Columbus,,the-ohio-state-university-columbus,United States,US,39-51,,10.5,0.0,17.4,20.9,57.5,15.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Pennsylvania State University - University Park,,pennsylvania-state-university-university-park,United States,US,39-51,,9.1,0.0,21.8,33.1,46.2,14.2,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,The University of Glasgow,,the-university-of-glasgow,United Kingdom,GB,9-12,,14.8,0.0,24.6,21.5,40.8,24.7,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,The University of Western Australia,,the-university-of-western-australia,Australia,AU,7,,19.6,13.0,25.5,13.5,43.7,32.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Tianjin University,,tianjin-university,China,CN,11-23,,0.0,0.0,27.9,9.8,60.7,20.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Electronic Science and Technology of China,,university-of-electronic-science-and-technology-of-china,China,CN,11-23,,0.0,0.0,32.9,11.3,50.6,21.0,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Université Grenoble Alpes,,universit-grenoble-alpes,France,FR,5,,11.7,13.0,17.4,22.9,41.6,19.8,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Université libre de Bruxelles (ULB),,universit-libre-de-bruxelles-ulb,Belgium,BE,3,,18.1,24.4,14.7,18.9,30.0,34.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Amsterdam,,university-of-amsterdam,Netherlands,NL,4-6,,0.0,0.0,32.2,20.3,48.8,23.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Bern,,university-of-bern,Switzerland,CH,6-7,,11.7,0.0,17.4,23.6,42.9,32.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,"University of California, Davis",,university-of-california-davis,United States,US,39-51,,12.8,0.0,23.7,25.4,50.2,21.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Florida,,university-of-florida,United States,US,39-51,,15.7,0.0,23.7,19.1,56.9,22.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Freiburg,,university-of-freiburg,Germany,DE,5,,20.9,14.6,16.1,23.5,35.6,21.6,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Gothenburg,,university-of-gothenburg,Sweden,SE,4,,0.0,14.1,25.5,16.0,41.9,22.9,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Helsinki,,university-of-helsinki,Finland,FI,1,,15.7,16.0,17.4,19.0,48.8,25.2,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Lausanne,,university-of-lausanne,Switzerland,CH,6-7,,16.6,16.0,17.4,21.2,33.8,24.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Liverpool,,university-of-liverpool,United Kingdom,GB,9-12,,14.8,9.2,17.4,18.7,42.6,25.0,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Nottingham,,university-of-nottingham,United Kingdom,GB,9-12,,18.9,18.4,17.4,15.0,42.1,23.0,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Sao Paulo,,university-of-sao-paulo,Brazil,BR,1,,0.0,0.0,18.6,14.7,67.8,17.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Utah,,university-of-utah,United States,US,39-51,,0.0,10.6,13.2,24.0,47.0,21.1,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Vienna,,university-of-vienna,Austria,AT,1,,16.6,16.8,19.7,22.9,36.1,29.2,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,University of Warwick,,university-of-warwick,United Kingdom,GB,9-12,,12.8,27.6,13.2,18.2,37.7,26.4,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Wuhan University,,wuhan-university,China,CN,11-23,,0.0,0.0,27.1,17.3,65.3,19.5,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,101-150,Xi'an Jiaotong University,,xian-jiaotong-university,China,CN,11-23,,0.0,0.0,18.6,16.4,70.6,20.3,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,151-200,Aix Marseille University,,aix-marseille-university,France,FR,6-8,,11.7,0.0,18.6,21.5,48.1,19.0,,,,
arwu,2026-07-19T13:17:27+00:00,overall,2023,151-200,Baylor College of Medicine,,baylor-college-of-medicine,United States,US,52-61,,0.0,0.0,23.7,23.6,38.7,16.3,,,,
